이름,대표,소재지,번호
마당부동산공인중개사사무소,정삼섭,서울특별시 강남구 역삼동 825-20 센트럴에비뉴313호,010-3388-5008
삼우공인중개사사무소,권세룡,서울특별시 강남구 역삼1동 823-3 크레신타워2 301호,02-555-2085
주식회사핵인싸부동산중개법인,서현우,서울특별시 강남구 역삼동 824-7 5층,1533-3088/010-3313-3329
강남부동산나라공인중개사사무소,남궁명수,서울시 강남구 역삼동 825-20 강남역센트럴푸르지오시티 센트럴애비뉴,010-5632-8272/010-5632-8272
더원부동산중개법인주식회사,김인영,서울시 서초구 서초동 1328 홍우빌딩15층[117호],02-532-3671/010-4179-3671
강남역포레스트부동산공인중개사사무소,임현우,서울특별시 강남구 역삼동 825-20 강남역 센트럴 푸르지오 시티 3층 311호,02-6080-4949/010-7990-9520
강남하늘공인중개사사무소,염수민,서울특별시 강남구 역삼동 825-20 강남역센트럴푸르지오시티 3층 센트럴애비뉴 311호,02-553-7710/010-8570-5255
프리엠에셋부동산중개 주식회사,박세민,서울특별시 강남구 역삼동 825-18 켐브리지 강남빌딩 7-1,02-557-1295
주식회사메이플부동산중개법인,최용석,서울시 서초구 서초동 1319-11 두산베어스텔 2102호,02-583-1009
오피스그룹부동산중개,박명진,서울특별시 서초구 서초동 1319-11 두산베어스텔 8층 808호,02-557-8444/010-3088-3200
조해숙공인중개사사무소,조해숙,서울특별시 강남구 역삼동 824-25 대우디오빌플러스 116호,02-2050-0111
강남역센트럴부동산공인중개사사무소,임연수,서울시 강남구 역삼동 825-20 센트럴에비뉴 124호,010-9962-0412
바로이부동산공인중개사사무소,이덕현,서울시 강남구 역삼동 825-20 강남역 센트럴 푸르지오 시티 지2층 센트럴애비뉴 B222호,010-8070-0789/010-6470-0607
구현대공인중개사사무소,문진혁,서울특별시 강남구 역삼동 825-20 강남역 센트럴 푸르지오 시티 2층센트럴애비뉴 203호,010-3158-2914
강남더집공인중개사사무소,최항,서울시 강남구 역삼동 825-20 강남역 센트럴 푸르지오 시티 3층 센트럴애비뉴 311호,010-4712-7798/010-7919-7787
마이스터공인중개사사무소,김일환,서울특별시 강남구 역삼동 824-25 대우디오빌플러스 9층 917호,010-5142-0180/010-5142-0180
예스부동산중개주식회사,백용안,서울특별시 서초구 서초동 1319-11 두산베어스텔 1609호,02-566-9101
빅파트너스공인중개사사무소,한경석,서울특별시 강남구 역삼동 825-20 강남역 센트럴 푸르지오 시티 2층 센트럴애비뉴 218호,02-1666-6537/010-4888-6537
빅파트너스공인중개사사무소,한경석,서울특별시 강남구 역삼동 824-11 한라클래식오피스텔 1602-1호,010-5259-0466/010-5259-0466
바우부동산중개주식회사,홍경묵,서울특별시 강남구 역삼동 824-11 한라클래식오피스텔 1602-1호,010-5259-0466/010-5259-0466
강남나인부동산중개,우구종,서울시 강남구 역삼동 825-20 1층 109호,02-525-4898
팽성탑공인중개사사무소,이중호,서울시 강남구 역삼동 825-20 강남역센트럴푸르지오시티 센트럴에비뉴313호,02-540-6686/010-2090-6686
강남뉴부동산공인중개사사무소,김유리,서울시 강남구 역삼동 826-30 강남뉴스텔 103호,02-561-3007/010-8447-0809
강남N공인중개사사무소,송태윤,서울특별시 강남구 역삼동 825-20 강남역 센트럴 푸르지오 시티 센트럴애비뉴 218호,02-556-5555/010-2352-8226
(주)노블에셋부동산중개법인,이지현,서울 강남구 역삼1동 822-5 대건빌딩3층,02-557-7020
김회순공인중개사사무소,김회순,서울특별시 강남구 역삼동 825-20 B206호,010-8926-4559
베스트공인중개사사무소,김서윤,서울시 강남구 역삼동 825-24 강남역 효성해링턴 타워더퍼스트 3층 312호,02-581-0084/010-5571-0959
제이에스리얼티공인중개사사무소,정지수,서울시 강남구 역삼동 825-20 강남역 센트럴 푸르지오시티 센트럴애비뉴 218호,02-521-2121/010-8409-4949
씨앤킴부동산중개법인주식회사,김민선,서울시 강남구 역삼동 825-20 강남역센트럴애비뉴 313호,02-555-0400/010-6638-7277
UNIONSPACE공인중개사사무소,임재영,서울시 강남구 역삼동 827-32 203호,02-555-5461/010-5202-2250
금복래공인중개사사무소,고희숙,서울시 강남구 역삼동 825-20 강남역센트럴푸르지오시티 오피스텔 313호,02-599-4080
서전공인중개사사무소,전주현,서울시 강남구 역삼동 825-24 강남역효성해링턴타워더퍼스트 2층 213-1호,02-565-0240/010-6214-5361
강남역디오빌공인중개사,김재호,서울 강남구 역삼동 824-25 대우디오빌플러스 217호,02-2050-0070/010-2976-0533
좋은부동산중개,황정욱,서울특별시 강남구 역삼동 825-20 강남역 센트럴 푸르지오 시티 센트럴애비뉴 218호,010-8496-2482
좋은부동산중개,박민호,서울시 강남구 역삼동 825-20,010-7933-2897
정림부동산중개,오정희,서울특별시 강남구 역삼동 825-20 강남역 센트럴 푸르지오 시티 센트럴애비뉴 3층 311호,02-557-0600/010-6657-6867
넥스트알누리부동산중개사사무소,정홍식,서울특별시 강남구 역삼동 825-20 강남역 센트럴 푸르지오 시티 상가 309호,02-546-0624
강남태대성공인중개사사무소,정형식,서울시 강남구 역삼동 825-20 강남역센트럴푸르지오시티 1층 센트럴애비뉴128호,02-568-7177/010-6395-8570
한국리얼티공인중개사사무소,표기원,서울 강남구 역삼동 825-20 강남역센트럴푸르지오시티 3층 309호,02-501-1151/010-7705-7723
전국부동산,유창민,서울 강남구 역삼동 824-25 대우디오빌플러스 117호,02-2052-4989/016-276-1056
서경공인중개사사무소,홍현보,서울특별시 강남구 역삼동 825-20 강남역 센트럴 푸르지오 시티 B116호,010-4553-1050
개원메디컬공인중개사사무소,현용호,"서울특별시 강남구 역삼동 825-20 , 1층 109호",010-9696-7647
강남한솔공인중개사사무소,박성윤,서울시 강남구 역삼동 825-20 강남역센트럴푸르지오시티 센트럴애비뉴 218호,010-3816-0000/010-3816-0000
테헤란공인중개사사무소,유진영,서울시 강남구 역삼동 825-20 강남역센트럴푸르지오시티 3층 센트럴애비뉴 304호[18호],02-553-6688/010-8757-3937
강남역부자공인중개사사무소,임광태,서울시 강남구 역삼동 825-20 강남역센트럴푸르지오시티 센트럴애비뉴 128호,1800-2189
조용래세무사공인중개사사무소,조용래,서울특별시 강남구 역삼동 825-20 강남역센트럴푸르지오시티 212호,02-565-4488
코리아부동산중개사무소,정혜승,서울 강남구 역삼동 827-10 1층 코리아부동산,02-566-2666/010-5317-1706
압구정엘리트공인중개사사무소,황선영,서울특별시 강남구 역삼동 825-20 강남역 센트럴 푸르지오 시티 203호,010-7587-9135
강남역놀부부동산공인중개사사무소,문보영,서울특별시 강남구 역삼동 751-13 우성빌딩 1층 102호,02-556-1236/010-6222-7225
비상공인중개사사무소,장정빈,"서울시 강남구 역삼동 792-2 강남구 역삼로14길 13, 2층 201호",02-553-9689
수경공인중개사사무소,김시흥,서울시 강남구 역삼동 749-14 1층 101호,070-8983-6560/010-8896-7945
성우스타우스공인중개사사무소,최원규,서울 강남구 역삼1동 832-33 성우스타우스 110호,02-567-2353/010-9506-8338
성우스타우스공인중개사사무소,김원식,서울시 강남구 역삼동 749-14 101호,010-2306-7070
정우부동산공인중개사사무소,노인구,서울시 강남구 역삼동 827-69 1층[101호],02-553-0040/010-5669-6803
서울랜드공인중개사사무소,최대상,서울시 강남구 역삼동 749-14 1층 101호(역삼동,010-7105-8227
네오공인중개사사무소,김영삼,서울 강남구 역삼1동 829-10 1층,02-565-0445/010-9087-0636
가온종합부동산중개법인주식회사,장미영,서울특별시 강남구 역삼동 751-12 301호,02-1566-2099/010-8006-3585
알에스 공인중개사 사무소,최승범,서울 강남구 역삼동 828-10 올림피아 빌딩 903호,02-6478-0111/010-3344-8700
녹색공인중개사사무소,이강,서울시 강남구 역삼동 752-1 1층,02-569-5088/010-2408-2490
MK공인중개사사무소,최현묵,서울시 강남구 역삼동 749-14 101호,
이룸공인중개사사무소,이병근,서울특별시 강남구 역삼1동 역삼로4길 16 성우스타우스101호,02-556-3344
강남REP공인중개사사무소,이영우,서울 강남구 역삼동 835-16,02-557-5576/010-2301-6911
레이화이트리얼티부동산중개,안경훈,서울 강남구 역삼1동 834번지 양원빌딩 3층,02-508-3278/010-3257-5373
(주)큐브부동산중개법인,김하늘,서울시 강남구 역삼동 752-34 B1,02-586-0299/010-5366-4472
황금공인중개사사무소,김윤종,서울시 강남구 역삼동 835-68 롯데캐슬 노블아파트상가 102-1호,02-565-6007
그로스부동산중개,신지율,서울특별시 강남구 역삼동 834-45 2층[202호],02-555-7700/010-2279-5677
강남삼아공인중개사사무소,박현웅,서울시 강남구 역삼동 834-23 102호,02-563-1118
위더스부동산중개,김영만,서울시 강남구 역삼동 752-23,010-3109-3358
위더스부동산중개,강유경,서울시 강남구 역삼동 832-33 10층,010-5270-7240
미래공인중개사사무소,최목현,서울시 강남구 역삼동 789-30 5층[5호],010-5211-9516
그린공인중개사사무소,유신원,서울특별시 강남구 역삼동 830-41 네스빌 303호,02-508-7196
트래저부동산중개법인주식회사,강일,서울특별시 강남구 역삼동 828-10 403호,02-566-5500
역삼공인중개사사무소,한기자,"서울 강남구 역삼로14길 10, B102호 (역삼동 834-101, 지하1층)",02-575-9944/010-4290-0415
대림공인중개사사무소,임현정,서울시 강남구 역삼동 829-3 1층,02-567-5252/010-3712-9227
우진공인중개사사무소,천태문,서울 강남구 역삼1동 834-23 102호,02-563-1118/010-5539-4989
미래공인중개사사무소,전해권,서울특별시 강남구 역삼1동 832-33 성우스타우스상가 1층 112호,02-561-8924/010-6740-9328
가람공인중개사사무소,이원용,서울시 강남구 역삼동 751-2 1층[103호],02-567-8007
고운공인중개사사무소,염고운,서울특별시 강남구 역삼동 749-14 1층 101호,010-5168-5558
굿데이공인중개사사무소,김세희,서울특별시 강남구 역삼동 751-16,02-557-5400/010-8072-1004
미스터홈즈부동산공인중개사사무소강남역삼센터,김재련,서울특별시 강남구 역삼동 796-29 역삼종합시장 더블루 1층 112호,02-563-0884/010-2730-8249
블루공인중개사사무소,원영진,서울시 강남구 역삼동 795-3 1층 101호,02-6080-8557
(주)칸엠앤씨부동산중개법인,김재욱,서울 강남구 역삼동 748-15 중평빌딩 1층,02-563-1535/010-2251-5278
역삼럭키공인중개사사무소,권영섭,서울특별시 강남구 역삼동 796-29 역삼종합시장 더블루 1층 125호,02-552-3733/010-6326-3391
역삼럭키공인중개사사무소,박인범,서울 강남구 역삼1동 795-3 101호,02-563-2999/010-3797-0619
행운플러스공인중개사사무소,이지수,서울시 강남구역삼동 793-1 1층 [101호],02-552-8949
동화공인중개사사무소,강법정,서울 강남구 역삼1동 790-19번지 102호,02-548-8999/010-5412-8313
동화공인중개사사무소,윤광진,서울시 강남구 역삼동 790-7,02-508-2600
하이클래스공인중개사사무소,최종규,"서울 강남구 논현로63길 16, 207호 (역삼동,더블루상가)",02-554-8310/010-7191-0902
연이음부동산중개사무소,신근하,서울시 강남구 역삼동 790-20 3층[301호],02-6203-3210/010-2118-3210
부성공인중개사사무소,김재율,서울특별시 강남구 역삼동 795-37 파인하우스 3층,02-1800-2348/010-7774-1200
주식회사바로부동산중개법인,이영진,서울시 강남구 역삼동 796-12 1층,02-515-8961/010-3375-7095
다슬공인중개사사무소,방효정,서울 강남구 역삼1동 795-2 1층,02-568-4585/010-4773-4876
태영공인중개사사무소,황의집,서울특별시 강남구 역삼동 792-6,02-558-8015/010-3381-8820
골든트리공인중개사사무소,김소연,서울시 강남구 역삼동 796-29 역삼종합시장 더블루 1층 103호,02-512-4002/010-4344-4411
삼환아르누보공인중개사사무소,송영업,서울 강남구 역삼2동 769-1 삼환아르누보 101호,02-566-9090/016-208-3599
부동산월드공인중개사사무소,이처윤,서울특별시 강남구 역삼동 796-29 강남서해그랑블 1층 125호,1533-8342/010-6230-4657
주식회사제이에셋부동산중개법인,임진섭,서울특별시 강남구 역삼동 735-32 쓰리엠타워 11층 1126호,02-3661-3071/010-3154-8114
강남소망공인중개사사무소,김용태,서울특별시 강남구 역삼동 823-26 강남역두산위브센티움 지1층 비104호,02-6405-2477
동명공인,정재영,서울 강남구 역삼1동 740,02-556-5365
강남뷰공인중개사사무소,송재훈,서울특별시 강남구 역삼동 735-11 신일유토빌 1층 110-3호,02-556-0993/010-4018-0093
주식회사와이드파트너스부동산중개법인,박서호,서울시 강남구 역삼동 735 13층,02-556-5666/010-8393-5157
맥공인중개사사무소,채범수,서울특별시 강남구 역삼동 828-21 뜨라네아파트상가 103호,02-566-1230
